start_timestamp,end_timestamp,x,y
1744745636.7466583,1744745636.7641957,,
1744745636.796583,1744745636.813536,,
1744745636.8477006,1744745636.8639529,,
1744745636.9135702,1744745636.9304607,,
1744745637.046702,1744745637.0803068,,
1744745637.113952,1744745637.1473262,,
1744745637.180347,1744745637.1968124,,
1744745637.247717,1744745637.2635884,,
1744745637.3305142,1744745637.347542,,
1744745637.4641774,1744745637.4797044,,
1744745637.6455195,1744745637.763155,,
1744745637.8808558,1744745637.8808558,0.8445333540439606,0.1189511492848396
1744745638.0134628,1744745638.0295162,,
1744745638.1130238,1744745638.129577,,
1744745638.363164,1744745638.380437,,
1744745638.4630818,1744745638.4805522,,
1744745638.5966773,1744745638.6972716,,
1744745638.7641969,1744745638.7641969,0.7180416882038116,0.3987403661012649
1744745638.830655,1744745638.830655,0.7187822461128235,0.3911430090665817
1744745638.9631965,1744745638.9631965,0.7172812223434448,0.3793684244155884
1744745639.0965755,1744745639.0965755,0.6185960173606873,0.408604621887207
1744745639.1972847,1744745639.1972847,0.6165086925029755,0.4068452417850494
1744745639.4475777,1744745639.4475777,0.6211009323596954,0.4897992461919784
1744745639.613734,1744745639.613734,0.5663011074066162,0.3541284799575805
1744745639.6462762,1744745639.6462762,0.5633088946342468,0.3612934201955795
1744745640.16343,1744745640.16343,0.5315322875976562,0.354879543185234
1744745640.3955076,1744745640.6475308,,
1744745640.897751,1744745640.9137805,0.5412044376134872,0.34360747039318085
1744745640.979821,1744745640.979821,0.5452225804328918,0.3463816195726394
1744745641.0144625,1744745641.0144625,0.5418369770050049,0.3480476588010788
1744745641.0967968,1744745641.0967968,0.5425516366958618,0.3418449908494949
1744745641.2135224,1744745641.2135224,0.541497528553009,0.3465425372123718
1744745641.3309352,1744745641.3309352,0.5415533483028412,0.341126337647438
1744745641.5142865,1744745641.5142865,0.5710487067699432,0.3402628600597381
1744745641.5634646,1744745641.5634646,0.5707564055919647,0.3354875147342682
1744745641.780311,1744745641.780311,0.5418105721473694,0.3326012641191482
1744745641.879304,1744745642.0127337,,
1744745642.1307125,1744745642.1307125,0.5737457871437073,0.3331131339073181
1744745642.1963103,1744745642.1963103,0.6009530425071716,0.3449077904224396
1744745642.41387,1744745642.41387,0.6031425595283508,0.351496621966362
1744745642.5465257,1744745642.5465257,0.6044557988643646,0.3494743108749389
1744745642.6806571,1744745642.6806571,0.6281803250312805,0.3380024880170822
1744745642.8299825,1744745642.8467107,0.6082858592271805,0.33905861526727676
1744745642.879899,1744745642.896752,0.6085631251335144,0.34540166705846786
1744745642.9462762,1744745642.9462762,0.6136585474014282,0.3400917202234268
1744745643.09632,1744745643.1128144,0.6338600963354111,0.34133879840373993
1744745643.1801603,1744745643.1801603,0.6334717571735382,0.3308521807193756
1744745643.2302234,1744745643.2302234,0.6341228485107422,0.3422815948724746
1744745643.4127202,1744745643.4297216,0.5581061393022537,0.4555205181241035
1744745643.5129728,1744745643.5298429,0.535852462053299,0.4627576470375061
1744745643.712615,1744745643.712615,0.5343152284622192,0.4654018133878708
1744745643.9634554,1744745643.9634554,0.5392759442329407,0.4554190337657928
1744745644.1131897,1744745644.1131897,0.5373816192150116,0.45697882771492
